feature,n_nonbinder,n_binder,nonbinder_mean,binder_mean,u_statistic,p_value_raw,cliffs_delta,auc_metric_raw_direction,auc_metric_best_direction,p_value_fdr_bh
summary_fraction_disordered,5,6,0.054000000000000006,0.043333333333333335,19.0,0.5079870107415523,-0.26666666666666666,0.3666666666666667,0.6333333333333333,0.8118977796397151
summary_ranking_score,5,6,0.622,0.735,11.0,0.5218690919074656,0.26666666666666666,0.6333333333333333,0.6333333333333333,0.8118977796397151
ranking_score,5,6,0.6234347233974162,0.7349580498768032,11.0,0.5367965367965368,0.26666666666666666,0.6333333333333333,0.6333333333333333,0.8118977796397151
rosetta_total_score_mean,5,6,-824.0468828828829,-879.850331831832,19.0,0.5367965367965368,-0.26666666666666666,0.36666666666666664,0.6333333333333333,0.8118977796397151
rosetta_score_mean,5,6,-824.0468954954955,-879.8503363363365,19.0,0.5367965367965368,-0.26666666666666666,0.36666666666666664,0.6333333333333333,0.8118977796397151
rosetta_yhh_planarity_mean,5,6,0.3694756756756758,0.5379054054054052,11.0,0.5367965367965368,0.26666666666666666,0.6333333333333333,0.6333333333333333,0.8118977796397151
rosetta_fa_atr_mean,5,6,-1386.6467045045042,-1479.1720075075075,18.0,0.6623376623376623,-0.2,0.39999999999999997,0.6000000000000001,0.8118977796397151
rosetta_lk_ball_wtd_mean,5,6,-21.83534594594595,-23.35012912912913,18.0,0.6623376623376623,-0.2,0.39999999999999997,0.6000000000000001,0.8118977796397151
rosetta_fa_intra_rep_mean,5,6,2.563517117117117,2.7267567567567563,12.0,0.6623376623376623,0.2,0.6,0.6,0.8118977796397151
rosetta_pro_close_mean,5,6,0.9855819819819818,1.0270675675675676,18.0,0.6623376623376623,-0.2,0.4,0.6,0.8118977796397151
rosetta_time_mean,5,6,332.8450450450451,383.28828828828836,12.0,0.6623376623376623,0.2,0.6,0.6,0.8118977796397151
binding_interface_sc_A_B_mean,5,6,0.6583789902764398,0.6576664334795138,12.0,0.6623376623376623,0.2,0.6,0.6,0.8118977796397151
rosetta_fa_rep_mean,5,6,162.5673063063063,164.51304204204203,14.0,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.9558909558909557
rosetta_omega_mean,5,6,28.398846846846844,29.240276276276273,14.0,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.9558909558909557
rosetta_p_aa_pp_mean,5,6,-58.26734414414415,-57.396551051051055,14.0,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.9558909558909557
rosetta_ref_mean,5,6,56.69839999999997,60.176333333333304,14.0,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.9558909558909557
binding_interface_nres_A_B_mean,5,6,74.09189189189189,76.74174174174173,14.0,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.9558909558909557
binding_interface_dG_dSASA_ratio_A_B_mean,5,6,-0.03042658734321304,-0.0300272698706792,14.0,0.9307359307359306,0.06666666666666667,0.5333333333333333,0.5333333333333333,0.9558909558909557
rosetta_hbond_bb_sc_mean,5,6,-31.07783423423424,-31.75877627627628,15.0,1.0,0.0,0.5,0.5,1.0
